eYscxjKSX0s	How Many Reps Do You Really Need to Build Muscle?	11:44	NA	https://www.youtube.com/watch?v=eYscxjKSX0s
l4m_BbUdB3w	The "Muscle Confusion" Lie: Why Changing Exercises Destroys Your Growth	4:46	NA	https://www.youtube.com/watch?v=l4m_BbUdB3w
I6rWPEFObHU	The "Injury Rate" Fallacy: Stop Rolling the Dice with Your Joints	4:29	NA	https://www.youtube.com/watch?v=I6rWPEFObHU
pN0KflIMW5Q	The "Seal" Mindset: Built for Consistency	4:53	NA	https://www.youtube.com/watch?v=pN0KflIMW5Q
QeAfX6K3OZk	Gluconeogenesis: Does Excess Protein Lead To Sugar And Fat Storage?	4:54	NA	https://www.youtube.com/watch?v=QeAfX6K3OZk
5xmwKfkb7w0	The History of Variable Resistance	4:52	NA	https://www.youtube.com/watch?v=5xmwKfkb7w0
TWsyqmql-wU	The Trillion-Dollar War on Peptides and Hormones	6:09	NA	https://www.youtube.com/watch?v=TWsyqmql-wU
66y0oXnB5aw	The "Perfect" TRT Protocol: No Needles, No Side Effects	12:30	NA	https://www.youtube.com/watch?v=66y0oXnB5aw
s6m6X-iRk4Y	The "Predator" Trap: Why Motivation is Failing You	5:58	NA	https://www.youtube.com/watch?v=s6m6X-iRk4Y
_7JS-9p9VUc	The TRT Failure: Why Injections Stop Working After 60 Days	7:01	NA	https://www.youtube.com/watch?v=_7JS-9p9VUc
8P_CFZhvH40	The Myth of Size vs. Strength: Why Fasted Training Works	4:15	NA	https://www.youtube.com/watch?v=8P_CFZhvH40
8wiv8edWSnA	The Best Time of Day to Workout	6:58	NA	https://www.youtube.com/watch?v=8wiv8edWSnA
ETZfQ6OjMK4	The Benefits of High Intensity Training Without the Risk of Injury	5:58	NA	https://www.youtube.com/watch?v=ETZfQ6OjMK4
RdjSaGkZ2Eg	Which X3 Program is Right for You?	9:32	NA	https://www.youtube.com/watch?v=RdjSaGkZ2Eg
rXWtNTVWP5o	Are You Too Smart to Build Muscle?	4:04	NA	https://www.youtube.com/watch?v=rXWtNTVWP5o
OydpJbFDpYE	X3 Premium Plate vs Original Ground Plate: Which One Do You Need?	3:42	NA	https://www.youtube.com/watch?v=OydpJbFDpYE
6tn55B2W4Eo	The Truth About High Volume vs Intensity with Kolton Brenneman	31:26	NA	https://www.youtube.com/watch?v=6tn55B2W4Eo
9qA9vsCWmBw	The "Eat Big to Get Big" Myth with Kolton Brenneman	20:10	NA	https://www.youtube.com/watch?v=9qA9vsCWmBw
glvBva4VYRg	A Better Way to Build Muscle	5:58	NA	https://www.youtube.com/watch?v=glvBva4VYRg
JXQp_SQEUpk	Fast Acting Testosterone Explained: How Nandrogen Works vs Traditional TRT	5:11	NA	https://www.youtube.com/watch?v=JXQp_SQEUpk
fpsK6b78PMk	The Fastest Way to Build Muscle	9:56	NA	https://www.youtube.com/watch?v=fpsK6b78PMk
UZie-3WWlZQ	Strength vs Size: What Actually Builds Muscle?	10:57	NA	https://www.youtube.com/watch?v=UZie-3WWlZQ
M9lEIgwcjks	Dr. Jaquish's Fitness Transformation Story	7:31	NA	https://www.youtube.com/watch?v=M9lEIgwcjks
kn-dTOuNBeE	High Volume Training Debunked: Why More Sets Won’t Build More Muscle	8:20	NA	https://www.youtube.com/watch?v=kn-dTOuNBeE
uNKv64agZUI	Dr. Explains The New Way to Use Testosterone	13:55	NA	https://www.youtube.com/watch?v=uNKv64agZUI
Uy56MqaTYX8	Why You Should Not Rely on AI Alone for Health Advice	6:38	NA	https://www.youtube.com/watch?v=Uy56MqaTYX8
2ay8wGCEPR0	Before You Use the Force Bar Watch This	6:58	NA	https://www.youtube.com/watch?v=2ay8wGCEPR0
PxbISgWahUQ	Westside Barbell Origins Pt. 2 | What’s Next for X3 and the Westside Program	12:55	NA	https://www.youtube.com/watch?v=PxbISgWahUQ
5VPaharZVbo	Westside Barbell Origins Pt. 1 | Louie Simmons and the Rise of Variable Resistance	15:31	NA	https://www.youtube.com/watch?v=5VPaharZVbo
2wvh5vozhwM	Why Following Genetic Outliers Won’t Build Your Muscle	8:32	NA	https://www.youtube.com/watch?v=2wvh5vozhwM
jLHY_ICMHJI	How to Unsubscribe to People in Real Life	5:10	NA	https://www.youtube.com/watch?v=jLHY_ICMHJI
zQ-sqhWfVfM	How to Restore Natural Testosterone After TRT	5:53	NA	https://www.youtube.com/watch?v=zQ-sqhWfVfM
P5A9U0lKK-A	Why Activating Your Obliques Can Reduce Back Pain Fast	12:31	NA	https://www.youtube.com/watch?v=P5A9U0lKK-A
Gec4Ba3U1Ug	Why Essential Amino Acids Are Critical for Muscle Growth	7:00	NA	https://www.youtube.com/watch?v=Gec4Ba3U1Ug
rgrqhl3tIg4	Why Strength, Not Volume, Is the Key to Muscle Growth	2:50	NA	https://www.youtube.com/watch?v=rgrqhl3tIg4
pqCSb-au1uA	How Much Training Volume Do You Really Need?	4:09	NA	https://www.youtube.com/watch?v=pqCSb-au1uA
WbksM73SkGg	How to Build Muscle 70% Faster With Variable Resistance	4:47	NA	https://www.youtube.com/watch?v=WbksM73SkGg
p7P_zUZpGA4	Calories In, Calories Out Is Not the Full Answer	5:51	NA	https://www.youtube.com/watch?v=p7P_zUZpGA4
ao8UagrfJDc	The Problem With Media “Experts” in Health Science	6:00	NA	https://www.youtube.com/watch?v=ao8UagrfJDc
HpgOx8n7jz4	Do Lengthened Partials Actually Build More Muscle?	7:27	NA	https://www.youtube.com/watch?v=HpgOx8n7jz4
VDfmq1_gHao	Cardio vs Strength Training: The Cortisol Problem No One Explains	7:04	NA	https://www.youtube.com/watch?v=VDfmq1_gHao
7buYdxfVfsk	Why Traditional Steroid Cycles Fail and Fast-Acting TRT Works	6:46	NA	https://www.youtube.com/watch?v=7buYdxfVfsk
gsLPGkSmDeA	The Best Pre-Workouts of 2025? Dr. Explains What Actually Matters	12:11	NA	https://www.youtube.com/watch?v=gsLPGkSmDeA
JicbxkEb2pk	Why Steroid Cycles Fail and Fast-Acting Testosterone Works Better	9:46	NA	https://www.youtube.com/watch?v=JicbxkEb2pk
UiZ4uDH6xMQ	The Problem With Testosterone Replacement Therapy (TRT)	14:56	NA	https://www.youtube.com/watch?v=UiZ4uDH6xMQ
L5cHsqWZ_oo	Dr Explains The Cheapest Way to Hit Your Protein Goals	7:35	NA	https://www.youtube.com/watch?v=L5cHsqWZ_oo
uRFA9si0pn4	The Nutrition System That Eliminates Willpower and Junk Food Cravings	4:18	NA	https://www.youtube.com/watch?v=uRFA9si0pn4
zaqyI5Mbjzw	The Smartest Way to Kill Sugar Cravings Without Dieting	3:10	NA	https://www.youtube.com/watch?v=zaqyI5Mbjzw
sUotpDM21-Y	Real Results from X3 and Variable Resistance Training	6:03	NA	https://www.youtube.com/watch?v=sUotpDM21-Y
bZvhZt3R8RE	Is Junk Food More Expensive Than Healthy Food? Dr. Explains	2:38	NA	https://www.youtube.com/watch?v=bZvhZt3R8RE
O8Vl6cxH6VI	Dr Explains Why Healthy People Ignore Consumer Ads and Focus on Performance	3:51	NA	https://www.youtube.com/watch?v=O8Vl6cxH6VI
NjuUKjtUlnE	Creatine and Caffeine Aren’t Friends… Here’s the Science	3:52	NA	https://www.youtube.com/watch?v=NjuUKjtUlnE
WqVfyvYsmYY	Protein Chips or Pork Rinds? Dr. Reveals the Smarter Snack for Muscle Growth	4:37	NA	https://www.youtube.com/watch?v=WqVfyvYsmYY
aVo54TuoS3A	What a Doctor Eats in a Day to Lose Fat Fast	9:35	NA	https://www.youtube.com/watch?v=aVo54TuoS3A
wwegwf2OJ0g	Dr. Explains Full Range of Motion	4:35	NA	https://www.youtube.com/watch?v=wwegwf2OJ0g
fqaY0AQ_FJ4	Dr. Exposes the PhD Debate in Fitness Science	8:22	NA	https://www.youtube.com/watch?v=fqaY0AQ_FJ4
kgxItgMcmTA	Dr Reacts to the Dorian Yates vs Mike Israetel Feud	12:20	NA	https://www.youtube.com/watch?v=kgxItgMcmTA
NM3oUJnmvDU	Dr Explains Why Research Chemical Websites Exist & How to Use Peptides Safely	6:11	NA	https://www.youtube.com/watch?v=NM3oUJnmvDU
y0_NyiLOiYQ	What a Doctor Eats in a Day	10:13	NA	https://www.youtube.com/watch?v=y0_NyiLOiYQ
5mX_KbbsojU	Dr Exposes The Truth Behind Beachbody Workouts	5:43	NA	https://www.youtube.com/watch?v=5mX_KbbsojU
8r1FlaJng24	Dr Explains Why the Athlete’s Approach Beats Bodybuilding	10:08	NA	https://www.youtube.com/watch?v=8r1FlaJng24
wGMgfB-NMyQ	The Optimized Lifestyle For The Busy Professional	10:23	NA	https://www.youtube.com/watch?v=wGMgfB-NMyQ
4rvc3LBF918	Dr Exposes Nutrition Lies	6:02	NA	https://www.youtube.com/watch?v=4rvc3LBF918
jtHo56OlzoE	Why Strength Training Beats Cardio for Longevity	8:26	NA	https://www.youtube.com/watch?v=jtHo56OlzoE
hQe36ErDX2Y	Dr Explains The Exercise Volume Debate: Strength vs. Endless Reps	11:16	NA	https://www.youtube.com/watch?v=hQe36ErDX2Y
RK7g3vFoIXk	Dr Explains Rapid Fat Loss Without Losing Muscle	13:23	NA	https://www.youtube.com/watch?v=RK7g3vFoIXk
